row_id,reference_id,material_description,source,material,erm,hash,material_type,placeholder,material_iri,material_synthesis_characterization_quote,s,p,o,s_iri,o_iri,quote,original_study,citesAsSourceDocument,model_cell,model_cell_iri,organism,organism_iri,organism_age,manufacturer_cell,exposure_time,exposure_time_units,exposure_time_units_iri,dose,dose_units,dose_units_iri,exposure_route,endpoint,endpoint_iri,endpoint_measurement,qualifier,qualifier_value,endpoint_units,assay_equipment,assay_iri,assay,"primary_size_descriptor__(ecd,_feret_diameter_,_length)",primary_size_descriptor_iri,primary_size,primary_size_quote,primary_size,primary_size_qualifier,primary_size_qualifier_value,primary_size_unit,normalized_primary_size,primary_size_method,primary_size_instrument,bundle_diameter,bundle_diameter_quote,bundle_diameter_qualifier,bundle_diameter_qualifier_value,bundle_diameter_unit,normalized_bundle_diameter,bundle_diameter_method,bundle_diameter_instrument,nominal_size,nominal_size_unit,nominal_size_qualifier,nominal_size_qualifier_value,average_grain_size,average_grain_size_qualifier,average_grain_size_qualifier_value,average_grain_size_unit,agglomerate_size,agglomerate_size_unit,agglomerate_size_qualifier,agglomerate_size_qualifier_value,agglomerate_size_method,aggregate_size,aggregate_size_qualifier,aggregate_size_unit,aggregate_size_medium,aggregate_size_qualifier_value,aggregate_size_instrument,aggregate_size_method,diameter_qualifier,diameter_qualifier_value,diameter_unit,normalized_diameter,diameter_method,diameter_instrument,hydrodynamic_diameter,hydrodynamic_diameter_qualifier,hydrodynamic_diameter_qualifier_value,hydrodynamic_diameter_unit,normalized_hydrodynamic_diameter,hydrodynamic_diameter_medium,hydrodymanic_diameter_method,hydrodymanic_diameter_method_iri,hydrodynamic_diameter_instrument,shape,shape_method,surface_area,surface_area_qualifier,surface_area_qualifier_value,surface_area_unit,normalized_surface_area,surface_area_method,surface_area_instrument,zeta_potential,zeta_potential_qualifier,zeta_potential_qualifier_value,zeta_potential_unit,normalized_zeta_potential,zeta_potential_medium,zeta_potential_instrument,zeta_potential_ph,zeta_potential_sd,dispersant/coating/functionalization,dissolution,porosity_qualifier,porosity,porosity_instrument,porosity_qualifier_value,porosity_unit,dissolution_method,purity,purity_unit,purity_method,metal_impurities_type,metal_impurities,metal_impurities_unit,metal_impurities_method,metal_impurities_instrument,pah_impurities,pah_impurities_unit,pah_impurities_method,pah_impurities_instrument,endotoxin_impurities,endotoxin_impurities_unit,endotoxin_impurities_instrument,endotoxins_impurities_instrument,crystal_structure,crystal_structure_instrument,polidispersity_index_(%),doping,polidispersity_index_instrument
1,2,GO,https://doi.org/10.1002/smll.201201546,GO2,ERM:070730,070730,GO,http://purl.enanomapper.org/onto/,http://purl.enanomapper.org/onto/GO,#N/A,exposure,negatively_correlates,immunoproteasome LMP7,http://www.ebi.ac.uk/efo/EFO_0000487,http://purl.obolibrary.org/obo/GO_1901800,GO disrupted the protein antigen processing in DCs by down-regulating the levels of immunoproteasome LMP7,TRUE,#N/A,murine dendritic cells,http://purl.enanomapper.net/onto/ENM_0893129,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,?,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,GO,https://doi.org/10.1007.s11671-010-9751-6,GO2,ERM:070730,070730,GO,http://purl.enanomapper.org/onto/,http://purl.enanomapper.org/onto/GO,#N/A,dose,#N/A,cytotoxicity,http://www.ebi.ac.uk/efo/EFO_0000428,http://purl.bioontology.org/ontology/npo#NPO_1340,graphene oxides with dose of less than 20 μg/mL did not exhibit toxicity to human fibroblast cells,TRUE,#N/A,HDF,http://purl.obolibrary.org/obo/BTO_0001619,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,height of GO sheet is about 1 nm,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,GO,https://doi.org/10.1007.s11671-010-9751-6,GO3,ERM:070731,070731,GO,http://purl.enanomapper.org/onto/,http://purl.enanomapper.org/onto/GO,#N/A,dose,negatively_correlates,cytotoxicity,http://www.ebi.ac.uk/efo/EFO_0000428,http://purl.bioontology.org/ontology/npo#NPO_1340,"graphene oxides with dose of less than 20 μg/mL did not exhibit toxicity to human fibroblast cells, and the dose of more than 50 μg/mL exhibits obvious cytotoxicity such as decreasing cell adhesion, inducing cell apoptosis, entering into lysosomes, mitochondrion, endoplasm, and cell nucleus.",TRUE,#N/A,HDF,http://purl.obolibrary.org/obo/BTO_0001619,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,height of GO sheet is about 1 nm,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,GO,https://doi.org/10.1007.s11671-010-9751-6,GO3,ERM:070731,070731,GO,http://purl.enanomapper.org/onto/,http://purl.enanomapper.org/onto/GO,#N/A,dose,negatively_correlates,cell adhesion,http://www.ebi.ac.uk/efo/EFO_0000428,http://www.ebi.ac.uk/efo/EFO_0008353,"graphene oxides with dose of less than 20 μg/mL did not exhibit toxicity to human fibroblast cells, and the dose of more than 50 μg/mL exhibits obvious cytotoxicity such as decreasing cell adhesion, inducing cell apoptosis, entering into lysosomes, mitochondrion, endoplasm, and cell nucleus.",TRUE,#N/A,HDF,http://purl.obolibrary.org/obo/BTO_0001619,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,height of GO sheet is about 1 nm,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,GO,https://doi.org/10.1007.s11671-010-9751-6,GO3,ERM:070731,070731,GO,http://purl.enanomapper.org/onto/,http://purl.enanomapper.org/onto/GO,#N/A,dose,#N/A,apoptosis,http://www.ebi.ac.uk/efo/EFO_0000428,http://purl.obolibrary.org/obo/OAE_0000196,"morphology of HDF cells cultured with 20 μg/mL GO for 3 days, showing cell have unclear boundary, membrane vesicles and fragmentation, the arrow showing apoptotic cells formed nodular structure encapsulating GO",TRUE,#N/A,HDF,http://purl.obolibrary.org/obo/BTO_0001619,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,height of GO sheet is about 1 nm,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,3,GO,https://doi.org/10.1007.s11671-010-9751-6,GO3,ERM:070731,070731,GO,http://purl.enanomapper.org/onto/,http://purl.enanomapper.org/onto/GO,#N/A,dose,positively_correlates,toxicity,http://www.ebi.ac.uk/efo/EFO_0000428,http://purl.bioontology.org/ontology/npo#NPO_1338,"graphene oxides under low dose (0.1 mg) and middle dose (0.25 mg) did not exhibit obvious toxicity to mice, under high dose (0.4 mg) exhibited chronic toxicity such as 4.9 mice death and lung granuloma formation, mainly located in lung, liver, spleen and kidney, almost could not be cleaned by kidney. ",TRUE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,height of GO sheet is about 1 nm,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,3,GO,https://doi.org/10.1007.s11671-010-9751-6,GO3,ERM:070731,070731,GO,http://purl.enanomapper.org/onto/,http://purl.enanomapper.org/onto/GO,#N/A,dose,positively_correlates,toxicity,http://www.ebi.ac.uk/efo/EFO_0000428,http://purl.bioontology.org/ontology/npo#NPO_1338,"graphene oxides under low dose (0.1 mg) and middle dose (0.25 mg) did not exhibit obvious toxicity to mice, under high dose (0.4 mg) exhibited chronic toxicity such as 4.9 mice death and lung granuloma formation, mainly located in lung, liver, spleen and kidney, almost could not be cleaned by kidney. ",TRUE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,height of GO sheet is about 1 nm,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,3,GO,https://doi.org/10.1007.s11671-010-9751-6,GO3,ERM:070731,070731,GO,http://purl.enanomapper.org/onto/,http://purl.enanomapper.org/onto/GO,#N/A,dose,negatively_correlates,granuloma formation,http://www.ebi.ac.uk/efo/EFO_0000428,http://purl.obolibrary.org/obo/OAE_0001850,"graphene oxides under low dose (0.1 mg) and middle dose (0.25 mg) did not exhibit obvious toxicity to mice, under high dose (0.4 mg) exhibited chronic toxicity such as 4.9 mice death and lung granuloma formation, mainly located in lung, liver, spleen and kidney, almost could not be cleaned by kidney. ",TRUE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,height of GO sheet is about 1 nm,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,4,#N/A,https://doi.org/10.1007/s00204-010-0545-5,Ag1,ERM:065707,065707,Ag,http://purl.enanomapper.org/onto/,http://purl.enanomapper.org/onto/Ag,#N/A,dose,positively_correlates,mitochondrial damage,http://www.ebi.ac.uk/efo/EFO_0000428,http://purl.obolibrary.org/obo/OAE_0007476,A reduction in mitochondrial function of A549 cells exposed to Ag NPs for 24 h was observed in a dose-dependent manner (0–20 μg/ml) (Fig. 2a).,TRUE,#N/A,A549,http://purl.obolibrary.org/obo/BTO_0000018,#N/A,#N/A,#N/A,#N/A,24,hours,#N/A,0–20,μg/mL,#N/A,#N/A,percent cell survival,http://purl.bioontology.org/ontology/npo#NPO_1816,#N/A,#N/A,#N/A,% of control,#N/A,http://purl.bioontology.org/ontology/npo#NPO_1911,MTT,crystallite size,http://purl.enanomapper.net/onto/ENM_0475298,78.1,#N/A,#N/A,#N/A,#N/A,nm,#N/A,PW-XRD,Phillips CM20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,121,SD,6,nm,#N/A,#N/A,DLS,http://purl.bioontology.org/ontology/npo#NPO_1469,Malvern Zetasizer Nano,spherical,PW-XRD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-21.8,SD,0.3,mV,#N/A,#N/A,Malvern Zetasizer Nano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,4,#N/A,https://doi.org/10.1007/s00204-010-0545-5,Ag1,ERM:065707,065707,Ag,http://purl.enanomapper.org/onto/,http://purl.enanomapper.org/onto/Ag,#N/A,dose,positively_correlates,apoptosis,http://www.ebi.ac.uk/efo/EFO_0000428,http://purl.obolibrary.org/obo/OAE_0000196,"Cell death was primarily due to a dose-dependent increase in necrosis/late apoptosis at 2.5–15 μg/ml Ag NPs (Fig. 3c), whereas only a minor increase in early apoptosis was detected (Fig. 3b).",TRUE,#N/A,A549,http://purl.obolibrary.org/obo/BTO_0000018,#N/A,#N/A,#N/A,#N/A,24,hours,#N/A,0–20,μg/mL,#N/A,#N/A,percent apoptotic cells,http://www.bioassayontology.org/bao#BAO_0002006,#N/A,#N/A,#N/A,%,#N/A,http://www.bioassayontology.org/bao#BAO_0010265,annexin V/PI,crystallite size,http://purl.enanomapper.net/onto/ENM_0475298,78.1,#N/A,#N/A,#N/A,#N/A,nm,#N/A,PW-XRD,Phillips CM20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,121,SD,6,nm,#N/A,#N/A,DLS,http://purl.bioontology.org/ontology/npo#NPO_1469,Malvern Zetasizer Nano,spherical,PW-XRD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-21.8,SD,0.3,mV,#N/A,#N/A,Malvern Zetasizer Nano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
