materialLabel	cause	relationship	outcome
graphene oxide nanoparticle	relative negative charge	does_not_correlate	import across plasma membrane
graphene oxide nanoparticle	relative negative charge	negatively_correlates	import across plasma membrane
graphene oxide nanoparticle	core component	correlates	toxicity
graphene oxide nanoparticle	sonication	negatively_correlates	size
graphene oxide nanoparticle	surface coating	correlates	surface charge
graphene oxide nanoparticle	surface coating	correlates	suspension
silver nanoparticle	surface coating	negatively_correlates	cytotoxicity
silver nanoparticle	surface coating	negatively_correlates	reactive oxygen species biosynthetic process
graphene oxide nanoparticle	surface coating	positively_correlates	toxicity
graphene oxide nanoparticle	PEGylation	#N/A	toxicity
graphene oxide nanoparticle	shape	correlates	import across plasma membrane
graphene oxide nanoparticle	shape	positively_correlates	import across plasma membrane
graphene oxide nanoparticle	viability	negatively_correlates	dose
graphene oxide nanoparticle	viability	negatively_correlates	duration
TiO2@SiO2 nanocomposite	doped core	positively_correlates	crystal structure
graphene oxide nanoparticle	impurity	correlates	viability
graphene oxide nanoparticle	impurity	does_not_correlate	toxicity
graphene oxide nanoparticle	size	correlates	toxicity
graphene oxide nanoparticle	size	correlates	import across plasma membrane
silver nanoparticle	size	correlates	reactive oxygen species biosynthetic process
graphene oxide nanoparticle	size	does_not_correlate	viability
graphene oxide nanoparticle	size	does_not_correlate	import across plasma membrane
graphene oxide nanoparticle	size	does_not_correlate	phagocytosis
graphene oxide nanoparticle	size	negatively_correlates	genotoxicity
graphene oxide nanoparticle	size	negatively_correlates	toxicity
graphene oxide nanoparticle	size	negatively_correlates	viability
silver nanoparticle	size	negatively_correlates	viability
zinc oxide nanoparticle	size	negatively_correlates	interleukin-8 measurement
titanium dioxide nanoparticle	size	negatively_correlates	Photocatalytic activity
graphene oxide nanoparticle	size	negatively_correlates	reactive oxygen species biosynthetic process
silver nanoparticle	size	negatively_correlates	reactive oxygen species biosynthetic process
titanium dioxide nanoparticle	size	positively_correlates	energy band gap
silver nanoparticle	size	positively_correlates	L lactate dehydrogenase measurement
graphene oxide nanoparticle	size	positively_correlates	import across plasma membrane
silver nanoparticle	size	positively_correlates	reactive oxygen species biosynthetic process
TiO2@SiO2 nanocomposite	size	positively_correlates	negative regulation of cytoskeleton organization
graphene oxide nanoparticle	temperature	does_not_correlate	import across plasma membrane
graphene oxide nanoparticle	dose	#N/A	toxicity
graphene oxide nanoparticle	dose	#N/A	cytotoxicity
graphene oxide nanoparticle	dose	#N/A	viability
graphene oxide nanoparticle	dose	#N/A	apoptosis AE
aluminium oxide nanoparticle	dose	correlates	cytotoxicity
aluminium oxide nanoparticle	dose	correlates	viability
aluminium oxide nanoparticle	dose	correlates	apoptosis AE
silver nanoparticle	dose	correlates	apoptosis AE
graphene oxide nanoparticle	dose	does_not_correlate	cytotoxicity
zinc oxide nanoparticle	dose	does_not_correlate	regulation of glutathione biosynthetic process
graphene oxide nanoparticle	dose	negatively_correlates	toxicity
zinc oxide nanoparticle	dose	negatively_correlates	viability
silver nanoparticle	dose	negatively_correlates	matrix metalloproteinase measurement
graphene oxide nanoparticle	dose	negatively_correlates	cellular adhesion molecule measurement
graphene oxide nanoparticle	dose	negatively_correlates	mobility decreased AE
zinc oxide nanoparticle	dose	negatively_correlates	Barrier integrity
graphene oxide nanoparticle	dose	positively_correlates	toxicity
aluminium oxide nanoparticle	dose	positively_correlates	Uptake
aluminium oxide nanoparticle	dose	positively_correlates	viability
zinc oxide nanoparticle	dose	positively_correlates	apoptosis AE
silver nanoparticle	dose	positively_correlates	apoptosis AE
silver nanoparticle	dose	positively_correlates	necrosis AE
graphene oxide nanoparticle	dose	positively_correlates	granuloma AE
zinc oxide nanoparticle	dose	positively_correlates	mitochondrial toxicity AE
silver nanoparticle	dose	positively_correlates	mitochondrial toxicity AE
graphene oxide nanoparticle	dose	positively_correlates	mortality
zinc oxide nanoparticle	dose	positively_correlates	L lactate dehydrogenase measurement
silver nanoparticle	dose	positively_correlates	L lactate dehydrogenase measurement
graphene oxide nanoparticle	dose	positively_correlates	reactive oxygen species biosynthetic process
zinc oxide nanoparticle	dose	positively_correlates	reactive oxygen species biosynthetic process
silver nanoparticle	dose	positively_correlates	reactive oxygen species biosynthetic process
graphene oxide nanoparticle	exposure	#N/A	toxicity
graphene oxide nanoparticle	exposure	#N/A	autophagy
aluminium oxide nanoparticle	exposure	correlates	apoptosis AE
graphene oxide nanoparticle	exposure	correlates	mortality
zinc oxide nanoparticle	exposure	correlates	interleukin-6 measurement
zinc oxide nanoparticle	exposure	correlates	TNF-related activation-induced cytokine measurement
graphene oxide nanoparticle	exposure	correlates	reactive oxygen species biosynthetic process
graphene oxide nanoparticle	exposure	does_not_correlate	import across plasma membrane
graphene oxide nanoparticle	exposure	does_not_correlate	reactive oxygen species biosynthetic process
graphene oxide nanoparticle	exposure	negatively_correlates	reactive oxygen species biosynthetic process
graphene oxide nanoparticle	exposure	negatively_correlates	positive regulation of proteasomal protein catabolic process
graphene oxide nanoparticle	exposure	observed_outcome	EC50
graphene oxide nanoparticle	exposure	observed_outcome	LC50
graphene oxide nanoparticle	exposure	positively_correlates	reactive oxygen species biosynthetic process
graphene oxide nanoparticle	exposure	positively_correlates	lactate dehydrogenase activity
graphene oxide nanoparticle	exposure	positively_correlates	activation of cysteine-type endopeptidase activity involved in apoptotic process
graphene oxide nanoparticle	exposure	positively_correlates	positive regulation of proteasomal protein catabolic process
titanium dioxide nanoparticle	anatase nanoparticle	negatively_correlates	toxicity
titanium dioxide nanoparticle	anatase nanoparticle	negatively_correlates	percent cell viability
titanium dioxide nanoparticle	anatase nanoparticle	positively_correlates	toxicity
titanium dioxide nanoparticle	anatase nanoparticle	positively_correlates	percent cell viability
titanium dioxide nanoparticle	anatase nanoparticle	positively_correlates	LC50
titanium dioxide nanoparticle	anatase nanoparticle	positively_correlates	interleukin-8 measurement
titanium dioxide nanoparticle	anatase nanoparticle	positively_correlates	reactive oxygen species biosynthetic process
